name,count,min,mean,max,popStdEev
easy_1,3,3455.929104075316,3631.4917630901905,3819.4086478284607,148.64681822285343
easy_4,3,4766.583412811091,5238.046135135796,5926.9692674251055,498.0566268498353
medium_0,3,-12240.716101496684,-10129.383884903917,-6270.430026976872,2732.7294052950347
medium_1,3,-35925.9553330123,-24812.75180640482,-17605.90198035285,7972.903617313457
